ID,拠点名,英名,種別,国,MX,MY,規模,防御,荘園領主,水軍,S1180,S1183,S1184,S1185A,S1185B,SIF,備考
kokufu_chikuzen,筑前国府,Chikuzen Provincial Seat,kokufu,chikuzen,0.118421,0.671626,333,33,,,taira,taira,taira,taira,kamakura,taira,
kokufu_chikugo,筑後国府,Chikugo Provincial Seat,kokufu,chikugo,0.108852,0.686504,239,30,,,taira,taira,taira,taira,kamakura,taira,
kokufu_hizen,肥前国府,Hizen Provincial Seat,kokufu,hizen,0.093900,0.696068,278,31,,,taira,taira,taira,taira,kamakura,taira,
kokufu_higo,肥後国府,Higo Provincial Seat,kokufu,higo,0.114234,0.750266,307,32,,,taira,taira,taira,,kamakura,taira,
kokufu_hyuga,日向国府,Hyuga Provincial Seat,kokufu,hyuga,0.141746,0.884166,140,26,,,taira,taira,taira,,kamakura,taira,
kokufu_osumi,大隅国府,Osumi Provincial Seat,kokufu,osumi,0.101675,0.904357,181,27,,,taira,taira,taira,,kamakura,taira,
kokufu_satsuma,薩摩国府,Satsuma Provincial Seat,kokufu,satsuma,0.074163,0.889479,258,30,,,taira,taira,taira,,kamakura,taira,
shoen_kamakura_mikuriya,鎌倉御厨,Kamakura Estate,shoen,sagami,0.752990,0.655685,45,10,jisha,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_oba_mikuriya,大庭御厨,Oba Estate,shoen,sagami,0.748804,0.645058,55,10,jisha,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_miura,三浦荘,Miura Estate,shoen,sagami,0.767344,0.669501,50,10,buke,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_chichibu,秩父牧,Chichibu Pasture,shoen,musashi,0.748206,0.570670,40,10,buke,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_kodama,児玉荘,Kodama Estate,shoen,musashi,0.760167,0.552604,35,10,buke,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_soma_mikuriya,相馬御厨,Soma Estate,shoen,shimousa,0.799043,0.597237,45,10,jisha,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_chiba,千葉荘,Chiba Estate,shoen,shimousa,0.812201,0.638682,55,10,buke,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_satake,佐竹荘,Satake Estate,shoen,hitachi,0.848086,0.528162,50,10,buke,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_nasu,那須荘,Nasu Estate,shoen,shimotsuke,0.809211,0.492030,35,10,buke,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_nitta,新田荘,Nitta Estate,shoen,kozuke,0.747608,0.533475,45,10,buke,,taira,kiso,kamakura,kamakura,kamakura,kiso,
shoen_ashikaga,足利荘,Ashikaga Estate,shoen,shimotsuke,0.774522,0.521785,40,10,buke,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_ichijo,一条荘,Ichijo Estate,shoen,kai,0.679426,0.599362,35,10,buke,,kai,kai,kamakura,kamakura,kamakura,kai,
shoen_shioda,塩田荘,Shioda Estate,shoen,shinano,0.666268,0.538789,40,10,sekkanke,,kiso,kiso,kamakura,kamakura,kamakura,kiso,
shoen_kanbara,蒲原荘,Kanbara Estate,shoen,suruga,0.686603,0.655685,35,10,kuge,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_fuji_omiya,富士大宮,Fuji Grand Shrine,shoen,suruga,0.675837,0.637620,30,10,jisha,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
shoen_kawai,河合荘,Kawai Estate,shoen,echizen,0.538876,0.483528,40,10,jisha,,taira,kiso,kamakura,kamakura,kamakura,taira,
shoen_kuratsuki,倉月荘,Kuratsuki Estate,shoen,kaga,0.561005,0.442083,35,10,sekkanke,,taira,kiso,kamakura,kamakura,kamakura,taira,
shoen_hakusan,白山宮領,Hakusan Shrine Land,shoen,kaga,0.557416,0.452710,40,10,jisha,,taira,kiso,kamakura,kamakura,kamakura,taira,
shoen_byodoin,平等院領,Byodoin Estate,shoen,yamashiro,0.477273,0.639745,45,10,sekkanke,,taira,taira,kamakura,kamakura,kamakura,taira,
shoen_tobadono,鳥羽殿領,Toba Palace Estate,shoen,yamashiro,0.473086,0.616366,40,10,kuge,,taira,taira,kamakura,kamakura,kamakura,taira,
shoen_iwashimizu,石清水八幡宮領,Iwashimizu Shrine,shoen,yamashiro,0.460526,0.642933,45,10,jisha,,taira,taira,kamakura,kamakura,kamakura,taira,
shoen_kasuga,春日社領,Kasuga Shrine Land,shoen,yamato,0.465311,0.659936,55,10,jisha,,taira,taira,kamakura,kamakura,kamakura,taira,
shoen_kuroda,黒田荘,Kuroda Estate,shoen,yamato,0.482057,0.681190,45,10,jisha,,taira,taira,kamakura,kamakura,kamakura,taira,
shoen_oyama,大山荘,Oyama Estate,shoen,tanba,0.441986,0.574920,40,10,jisha,,taira,taira,kamakura,kamakura,kamakura,taira,
shoen_koyasan,高野山領,Mt. Koya Estate,shoen,kii,0.466507,0.725824,55,10,jisha,,taira,taira,taira,kamakura,kamakura,taira,
shoen_kumano,熊野三山領,Kumano Shrine Land,shoen,kii,0.488038,0.746015,60,10,jisha,,taira,taira,taira,kamakura,kamakura,taira,
shoen_ota,大田荘,Ota Estate,shoen,bingo,0.293660,0.600425,45,10,jisha,,taira,taira,taira,kamakura,kamakura,taira,
shoen_itsukushima,厳島社領,Itsukushima Shrine,shoen,aki,0.257177,0.631243,60,10,jisha,,taira,taira,taira,taira,kamakura,taira,
shoen_yuge,弓削島荘,Yuge Island Estate,shoen,iyo,0.299043,0.691817,30,10,jisha,,taira,taira,taira,taira,kamakura,taira,
shoen_oe,麻植荘,Oe Estate,shoen,awa_shikoku,0.357656,0.695005,40,10,buke,,taira,taira,taira,taira,kamakura,taira,
shoen_yashima,屋島荘,Yashima Estate,shoen,sanuki,0.345096,0.645058,35,10,jisha,,taira,taira,taira,taira,kamakura,taira,
shoen_kanzaki,神埼荘,Kanzaki Estate,shoen,hizen,0.097488,0.679065,60,10,buke,,taira,taira,taira,taira,kamakura,taira,
shoen_usa,宇佐宮領,Usa Shrine Land,shoen,buzen,0.165670,0.684378,55,10,jisha,,taira,taira,taira,taira,kamakura,taira,
shoen_ogata,緒方荘,Ogata Estate,shoen,bungo,0.157895,0.736451,45,10,buke,,taira,taira,taira,,kamakura,taira,
shoen_aso,阿蘇社領,Aso Shrine Land,shoen,higo,0.130383,0.777896,50,10,jisha,,taira,taira,taira,,kamakura,taira,
shoen_shimazu,島津荘,Shimazu Estate,shoen,hyuga,0.128589,0.890542,90,10,sekkanke,,taira,taira,taira,,kamakura,taira,
shoen_hiraizumi,平泉領,Hiraizumi Estate,shoen,mutsu,0.878589,0.231668,80,10,buke,,oshu,oshu,oshu,oshu,oshu,oshu,
shoen_kesen,気仙荘,Kesen Estate,shoen,mutsu,0.896531,0.308183,45,10,buke,,oshu,oshu,oshu,oshu,oshu,oshu,
shoen_shirakawa,白河荘,Shirakawa Estate,shoen,mutsu,0.825359,0.483528,40,10,buke,,oshu,oshu,oshu,oshu,oshu,oshu,
shoen_yusa,遊佐荘,Yusa Estate,shoen,dewa,0.793062,0.279490,40,10,buke,,oshu,oshu,oshu,oshu,oshu,oshu,
tachi_kamakura,鎌倉大倉御所,Kamakura Palace,tachi,sagami,0.739833,0.660999,3000,45,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_kinugasa,衣笠城,Kinugasa Fort,tachi,sagami,0.766746,0.682253,800,35,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_ishibashi,石橋山,Ishibashiyama,tachi,sagami,0.735048,0.669501,400,25,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_oba,大庭館,Oba Residence,tachi,sagami,0.759569,0.653560,900,30,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_yamaki,山木館,Yamaki Residence,tachi,izu,0.713517,0.679065,300,20,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_hojo,北条館,Hojo Residence,tachi,izu,0.699761,0.682253,500,25,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_chiba,千葉館,Chiba Residence,tachi,shimousa,0.825957,0.617428,1200,30,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_kazusa,上総一宮館,Kazusa Ichinomiya,tachi,kazusa,0.790072,0.673751,2000,30,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_kanasa,金砂城,Kanasa Fort,tachi,hitachi,0.837321,0.510096,1000,40,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
tachi_nitta,新田館,Nitta Residence,tachi,kozuke,0.736842,0.518597,800,28,,,taira,kiso,kamakura,kamakura,kamakura,kiso,
tachi_takeda,武田館,Takeda Residence,tachi,kai,0.691388,0.578108,1500,35,,,kai,kai,kamakura,kamakura,kamakura,kai,
tachi_yoda,依田城,Yoda Fort,tachi,shinano,0.656100,0.520723,700,30,,,kiso,kiso,kamakura,kamakura,kamakura,kiso,
tachi_kiso,木曽館,Kiso Residence,tachi,shinano,0.630383,0.553666,600,25,,,kiso,kiso,kamakura,kamakura,kamakura,kiso,
tachi_jo,城氏館,Jo Residence,tachi,echigo,0.672847,0.402763,1200,32,,,taira,kiso,kamakura,kamakura,kamakura,taira,
tachi_kurikara,倶利伽羅陣,Kurikara Camp,tachi,etchu,0.593301,0.442083,1000,30,,,taira,kiso,kamakura,kamakura,kamakura,taira,
tachi_rokuhara,六波羅館,Rokuhara Palace,tachi,yamashiro,0.479067,0.624867,4000,55,,,taira,taira,kamakura,kamakura,yoshitsune,taira,
tachi_byodoin,宇治平等院,Byodoin Temple,tachi,yamashiro,0.483852,0.645058,600,30,,,taira,taira,kamakura,kamakura,kamakura,taira,
tachi_hojuji,法住寺殿,Hojuji Palace,tachi,yamashiro,0.466507,0.637620,800,28,,,goshirakawa,goshirakawa,goshirakawa,goshirakawa,goshirakawa,goshirakawa,
tachi_fukuhara,福原京,Fukuhara Capital,tachi,settsu,0.422249,0.639745,3500,45,,,taira,taira,kamakura,kamakura,kamakura,taira,
tachi_ichinotani,一ノ谷城郭,Ichinotani Fort,tachi,settsu,0.408493,0.648247,2500,42,,,taira,taira,kamakura,kamakura,kamakura,taira,
tachi_yashima,屋島陣,Yashima Camp,tachi,sanuki,0.332536,0.634431,2000,38,,,taira,taira,taira,taira,kamakura,taira,
tachi_hikoshima,彦島,Hikoshima,tachi,nagato,0.163876,0.617428,1800,35,,,taira,taira,taira,taira,kamakura,taira,
tachi_dazaifu,太宰府,Dazaifu,tachi,chikuzen,0.125000,0.666312,1500,40,,,taira,taira,taira,taira,kamakura,taira,
tachi_hiraizumi,柳之御所,Yanaginogosho,tachi,mutsu,0.890550,0.213603,3000,50,,,oshu,oshu,oshu,oshu,oshu,oshu,
tachi_koromogawa,衣川館,Koromogawa,tachi,mutsu,0.872608,0.257173,400,22,,,oshu,oshu,oshu,oshu,oshu,oshu,
minato_watanabe,渡辺津,Watanabe Harbor,minato,settsu,0.449163,0.654623,40,20,,,taira,taira,kamakura,kamakura,kamakura,taira,
minato_owada,大輪田泊,Owada Harbor,minato,settsu,0.430622,0.634431,60,20,,,taira,taira,kamakura,kamakura,kamakura,taira,
minato_yodo,淀津,Yodo Harbor,minato,yamashiro,0.469498,0.650372,25,20,,,taira,taira,kamakura,kamakura,kamakura,taira,riverPort
minato_atsuta,熱田湊,Atsuta Harbor,minato,owari,0.556818,0.645058,30,20,,,taira,taira,kamakura,kamakura,kamakura,taira,
minato_kuwana,桑名湊,Kuwana Harbor,minato,ise,0.546651,0.609989,25,20,,,taira,taira,kamakura,kamakura,kamakura,taira,
minato_shinagawa,品川湊,Shinagawa Harbor,minato,musashi,0.788278,0.631243,20,20,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
minato_miura,三浦湊,Miura Harbor,minato,sagami,0.773325,0.679065,30,20,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
minato_naoetsu,直江津,Naoetsu Harbor,minato,echigo,0.669258,0.420829,20,20,,,taira,kiso,kamakura,kamakura,kamakura,taira,
minato_tsuruga,敦賀津,Tsuruga Harbor,minato,echizen,0.522727,0.546227,30,20,,,taira,kiso,kamakura,kamakura,kamakura,taira,
minato_mikuni,三国湊,Mikuni Harbor,minato,echizen,0.520933,0.481403,25,20,,,taira,kiso,kamakura,kamakura,kamakura,taira,
minato_shingu,新宮湊,Shingu Harbor,minato,kii,0.495813,0.743889,45,20,,suigun_kumano,taira,taira,taira,kamakura,kamakura,taira,
minato_muya,撫養湊,Muya Harbor,minato,awa_shikoku,0.377392,0.676939,50,20,,suigun_awa,taira,taira,taira,taira,kamakura,taira,
minato_yashima,屋島湊,Yashima Harbor,minato,sanuki,0.343301,0.626993,35,20,,,taira,taira,taira,taira,kamakura,taira,
minato_mitsuhama,三津浜,Mitsuhama Harbor,minato,iyo,0.244617,0.698193,45,20,,suigun_kono,taira,taira,taira,taira,kamakura,taira,
minato_ushimado,牛窓,Ushimado Harbor,minato,bizen,0.352273,0.612115,25,20,,,taira,taira,taira,kamakura,kamakura,taira,
minato_hakata,博多津,Hakata Harbor,minato,chikuzen,0.114234,0.655685,40,20,,suigun_matsura,taira,taira,taira,taira,kamakura,taira,
minato_yuigahama,由比ヶ浜湊,Yuigahama Harbor,minato,sagami,0.768541,0.652497,30,20,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_tsukui,津久井城柵,Tsukui Stockade,kisaku,sagami,0.745215,0.634431,1800,34,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_odawara,小田原城柵,Odawara Stockade,kisaku,sagami,0.733852,0.650372,2500,38,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_kawagoe,河越城柵,Kawagoe Stockade,kisaku,musashi,0.776316,0.586610,1600,32,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_chichibu,秩父城柵,Chichibu Stockade,kisaku,musashi,0.742225,0.578108,1200,30,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_shiroi,白井城柵,Shiroi Stockade,kisaku,kozuke,0.731459,0.480340,1100,28,,,taira,kiso,kamakura,kamakura,kamakura,kiso,
kisaku_utsunomiya,宇都宮城柵,Utsunomiya Stockade,kisaku,shimotsuke,0.791268,0.526036,1400,30,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_satake,佐竹城柵,Satake Stockade,kisaku,hitachi,0.854067,0.533475,1500,33,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_yuki,結城城柵,Yuki Stockade,kisaku,shimousa,0.799641,0.577046,1300,29,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_ichinomiya,一宮城柵,Ichinomiya Stockade,kisaku,kazusa,0.809809,0.688629,1200,28,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
kisaku_ichijo,一条城柵,Ichijo Stockade,kisaku,kai,0.726077,0.606801,1000,27,,,kai,kai,kamakura,kamakura,kamakura,kai,
kisaku_hiraharu,平原城柵,Hirahara Stockade,kisaku,shinano,0.690191,0.509033,1100,28,,,kiso,kiso,kamakura,kamakura,kamakura,kiso,
kisaku_kiso,木曽城柵,Kiso Stockade,kisaku,shinano,0.620215,0.558980,900,26,,,kiso,kiso,kamakura,kamakura,kamakura,kiso,
kisaku_jo,城長茂城柵,Jo Stockade,kisaku,echigo,0.741029,0.407014,1400,31,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kisaku_hannyano,般若野城柵,Hannyano Stockade,kisaku,etchu,0.623206,0.437832,1000,27,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kisaku_ataka,安宅城柵,Ataka Stockade,kisaku,kaga,0.550837,0.451647,900,26,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kisaku_hiuchi,燧ヶ城柵,Hiuchi Stockade,kisaku,echizen,0.507177,0.519660,1200,33,,,taira,kiso,kamakura,kamakura,kamakura,taira,
kisaku_seta,瀬田城柵,Seta Stockade,kisaku,omi,0.499402,0.622742,1300,32,,,taira,taira,kamakura,kamakura,kamakura,taira,
kisaku_uji,宇治城柵,Uji Stockade,kisaku,yamashiro,0.486842,0.655685,1400,34,,,taira,taira,kamakura,kamakura,yoshitsune,taira,
kisaku_ikutanomori,生田森城柵,Ikuta Stockade,kisaku,settsu,0.414474,0.639745,2200,40,,,taira,taira,kamakura,kamakura,kamakura,taira,
kisaku_wadamisaki,和田岬城柵,Wada Stockade,kisaku,settsu,0.402512,0.658874,1800,36,,,taira,taira,kamakura,kamakura,kamakura,taira,
kisaku_mikusayama,三草山城柵,Mikusa Stockade,kisaku,harima,0.398923,0.583422,1100,29,,,taira,taira,taira,kamakura,kamakura,taira,
kisaku_fujito,藤戸城柵,Fujito Stockade,kisaku,bitchu,0.330742,0.605739,1000,27,,,taira,taira,taira,kamakura,kamakura,taira,
kisaku_nuta,沼田城柵,Nuta Stockade,kisaku,aki,0.275120,0.609989,1100,28,,,taira,taira,taira,taira,kamakura,taira,
kisaku_kikuchi,菊池城柵,Kikuchi Stockade,kisaku,higo,0.132177,0.729012,1300,31,,,taira,taira,taira,,kamakura,taira,
toride_ishibashi,石橋山砦,Ishibashiyama Fort,toride,sagami,0.730263,0.682253,400,22,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
toride_soutou,走湯山砦,Soutouzan Fort,toride,izu,0.718301,0.705632,350,20,,,kamakura,kamakura,kamakura,kamakura,kamakura,kamakura,
toride_fujikawa,富士川砦,Fujikawa Fort,toride,suruga,0.674043,0.658874,600,25,,,taira,kamakura,kamakura,kamakura,kamakura,kamakura,
toride_hashimoto,橋本砦,Hashimoto Fort,toride,totomi,0.615431,0.688629,400,20,,,taira,kai,kamakura,kamakura,kamakura,taira,
toride_sunomata,墨俣砦,Sunomata Fort,toride,mino,0.556220,0.589798,700,26,,,taira,taira,kamakura,kamakura,kamakura,taira,
toride_kurikara,倶利伽羅砦,Kurikara Fort,toride,etchu,0.585526,0.447396,800,28,,,taira,kiso,kamakura,kamakura,kamakura,taira,
toride_mikusa,三草砦,Mikusa Fort,toride,tanba,0.424641,0.563231,450,21,,,taira,taira,kamakura,kamakura,kamakura,taira,
toride_ichinotani,一谷西城砦,Ichinotani W. Fort,toride,harima,0.407895,0.624867,900,30,,,taira,taira,taira,kamakura,kamakura,taira,
